Extrinsic_Reward,Intrinsic_Reward,Total_Reward,Episode_Length,Policy_Loss,Value_Loss,RND_Loss,Entropy,epoch
0.0,0.5878569481195798,0.5878569481195798,240.94117647058823,-0.04210229711607098,0.004101502359844744,0.014502487261779606,1.9425337195396424,0
0.08345882352941175,0.08562087045283928,0.16907969398225103,227.55555555555554,-0.0409450123552233,0.004927841317839921,0.005783515213988721,1.9391685903072358,1
0.035,0.06396087229149978,0.09896087229149979,240.94117647058823,-0.04303935542702675,0.001212302636122331,0.0045345030259341,1.9285898625850677,2
0.015475000000000003,0.05156911021295001,0.06704411021295001,240.94117647058823,-0.04237249332945794,0.0003981760353781283,0.0038254666258580984,1.9338037550449372,3
0.033925,0.05394290498952656,0.08786790498952655,240.94117647058823,-0.04095791103318334,0.0016851769294589757,0.0038207833073101937,1.932774555683136,4
0.0,0.035246277609985825,0.035246277609985825,240.94117647058823,-0.041521454509347674,8.404411310038994e-05,0.0026114012231118976,1.9357982456684113,5
0.028925,0.03141154146942378,0.06033654146942378,240.94117647058823,-0.04113006838597357,0.0008073568402323872,0.002327591401990503,1.9347000539302825,6
0.0,0.035391110889759034,0.035391110889759034,240.94117647058823,-0.0436542792711407,7.603584163007326e-05,0.0026769470423460007,1.919155204296112,7
0.05115294117647058,0.02782406431352294,0.07897700548999353,227.55555555555554,-0.04496833411976695,0.0022832409536931663,0.002259957604110241,1.9068602919578552,8
0.06534117647058825,0.023811655863434866,0.08915283233402312,227.55555555555554,-0.04462102893739939,0.0027455615054350346,0.0019163898541592062,1.904848152399063,9
0.19197894736842103,0.023955597438218724,0.21593454480663973,204.8,-0.042967518826480956,0.00783400102518499,0.0021455584676004944,1.8930309951305389,10
0.21578,0.021970138148026588,0.23775013814802656,195.04761904761904,-0.044407350849360226,0.008932477002963424,0.002112290111836046,1.89726123213768,11
0.39887999999999996,0.016754442776087383,0.4156344427760874,157.53846153846155,-0.04340367168188095,0.014608037518337369,0.002027121861465275,1.8680173933506012,12
0.398848,0.018341904748464238,0.41718990474846424,157.53846153846155,-0.04447355531156063,0.015178977604955434,0.002184894017409533,1.846390527486801,13
0.5524727272727272,0.011855321141510193,0.5643280484142376,120.47058823529412,-0.04111422714777291,0.019818481430411337,0.0018991756718605758,1.8373847246170043,14
0.7126352941176469,0.009169547990484918,0.7218048421081318,78.76923076923077,-0.03872785018756986,0.01843628017231822,0.002257491205818951,1.7664377033710479,15
0.7447157894736842,0.007787352064757198,0.7525031415384414,70.62068965517241,-0.04079719819128513,0.019552972353994846,0.002160166623070836,1.7532763481140137,16
0.8211036144578313,0.006688711026869989,0.8277923254847013,48.76190476190476,-0.038590031955391166,0.02640158673748374,0.0026566510321572425,1.6496426522731782,17
0.8671891891891887,0.004525330897707976,0.8717145200868968,36.57142857142857,-0.03320060484111309,0.00984202332329005,0.0024420405272394417,1.6241171300411223,18
0.875677966101695,0.004320656975225172,0.8799986230769202,34.42016806722689,-0.03563541837502271,0.009837440727278591,0.002477469842415303,1.5654278814792633,19
0.8994958904109589,0.0032714876391939096,0.9027673780501528,27.86394557823129,-0.0317508383654058,0.007138176029548049,0.0023275291780009864,1.4885796070098878,20
0.9043428571428576,0.003207588496477361,0.9075504456393348,26.425806451612903,-0.03020697832107544,0.0047296644421294335,0.0024081386043690147,1.4485129833221435,21
0.9104858895705514,0.0030921273100071255,0.9135780168805586,24.975609756097562,-0.02970634028315544,0.006929061701521277,0.002459713944699615,1.4069784581661224,22
0.9169559322033904,0.003021634607112131,0.9199775668105026,23.01123595505618,-0.027604463417083024,0.004859464359469712,0.0026091951061971486,1.3784374117851257,23
0.922754838709678,0.0029737737108182995,0.9257286124204963,21.90374331550802,-0.0346541517181322,0.009333580755628646,0.0026618251227773725,1.3360774397850037,24
0.9257272727272726,0.002712930103213034,0.9284402028304857,20.582914572864322,-0.024746550968848167,0.004851272073574364,0.0026200933498330414,1.3248593926429748,25
0.9246030769230773,0.002688061642081367,0.9272911385651587,20.897959183673468,-0.02412123130634427,0.004585851076990366,0.0025569543824531136,1.299471092224121,26
0.9234062500000002,0.002685690164707912,0.9260919401647082,21.22279792746114,-0.022354074427857994,0.004476419137790799,0.0025132430717349054,1.2732241332530976,27
0.9305811320754714,0.0024795035648358383,0.9330606356403072,19.230046948356808,-0.021583909832406788,0.003326677903532982,0.0025660728104412557,1.2380166888236999,28
