Success_Rate,Key_Pickup_Rate,Door_Open_Rate,Mean_Reward,Mean_Steps,epoch
0.0," 0.9333333333333333",0.3333333333333333,1.719791250000002,nan,0
0.9,1.0,0.9333333333333333,10.32025514633333,392.3813279448156,1
1.0,1.0,1.0,11.45472230902778,147.5,2
