Env_Reward,LLM_Reward,Total_Reward,Episode_Length,Policy_Loss,Value_Loss,Entropy,epoch
0.0,0.0,0.0,1024.0,-0.04124326582532376,0.0005196000754949636,1.9404379844665527,0
0.0,0.0,0.0,1024.0,-0.0415947271278128,0.00018400136068521533,1.9351462572813034,1
0.0,0.0,0.0,1024.0,-0.04255672935396433,0.00014590774953830986,1.9353675723075867,2
0.0,0.0,0.0,1024.0,-0.04350106464698911,0.0001379520699629211,1.932790133357048,3
0.0,0.0,0.0,1024.0,-0.04322891226038337,0.00010957353570120176,1.9283011555671692,4
0.0,0.0,0.0,1024.0,-0.04355566301383078,8.639491006761091e-05,1.9247548043727876,5
0.0,0.0,0.0,1024.0,-0.04471638831309974,6.5564480064495e-05,1.9245719283819198,6
0.0,0.0,0.0,1024.0,-0.04553102836944163,5.158041230970412e-05,1.9241400927305221,7
0.0,0.0,0.0,1024.0,-0.04452316560782492,4.283122952983831e-05,1.9233863353729248,8
0.0,0.0,0.0,1024.0,-0.04457379207015037,3.4830304684874136e-05,1.920931676030159,9
0.0,0.0,0.0,1024.0,-0.04430154503788799,2.3929034659886385e-05,1.9209714770317077,10
0.0,0.0,0.0,1024.0,-0.04534833836369216,1.92811889519362e-05,1.919032034277916,11
0.0,0.0,0.0,1024.0,-0.04591154574882239,1.5616210816915554e-05,1.9156859308481216,12
0.0,0.0,0.0,1024.0,-0.0453047948423773,1.3063931100987248e-05,1.9135998517274857,13
0.0,0.0,0.0,1024.0,-0.044978780252858994,9.413767293153796e-06,1.9127791702747345,14
0.0,0.0,0.0,1024.0,-0.04555068197660148,9.553861241329287e-06,1.9102144598960877,15
0.0,0.0,0.0,1024.0,-0.04671927350573242,7.026789080555318e-06,1.9103490948677062,16
0.0,0.0,0.0,1024.0,-0.0453281091991812,5.829050826378079e-06,1.9075568228960038,17
0.0,0.0,0.0,1024.0,-0.045498108956962824,4.853799975990114e-06,1.9013061761856078,18
0.0,0.0,0.0,1024.0,-0.04572804386261851,4.079152972735756e-06,1.902913823723793,19
0.0,0.0,0.0,1024.0,-0.04494553599506616,3.4766097599003844e-06,1.9040106803178787,20
0.0,0.0,0.0,1024.0,-0.044316456269007175,3.6446714830162817e-06,1.9027456015348434,21
0.0,0.0,0.0,1024.0,-0.04567827368155122,2.6102366547320345e-06,1.899785688519478,22
0.0,0.0,0.0,1024.0,-0.04589671147987247,2.103963069544079e-06,1.8979860424995423,23
0.0,0.0,0.0,1024.0,-0.04509749903809279,2.000219313913476e-06,1.9012481689453125,24
0.0,0.0,0.0,1024.0,-0.044247937947511674,1.6969931010635265e-06,1.9020014643669128,25
0.0,0.0,0.0,1024.0,-0.04356910332571715,1.5992069307912971e-06,1.897965943813324,26
0.0,0.0,0.0,1024.0,-0.04519380033016205,1.3054635147113912e-06,1.8973309129476548,27
0.0,0.0,0.0,1024.0,-0.045218524103984234,1.1994616386346025e-06,1.8907753944396972,28
0.0,0.0,0.0,1024.0,-0.04408066922333091,1.066398374405253e-06,1.8918204843997954,29
0.0,0.0,0.0,1024.0,-0.043149638921022415,6.175544655206977e-07,1.8916904836893083,30
0.0,0.0,0.0,1024.0,-0.04422517563216388,7.289949031985543e-07,1.8958450943231582,31
0.0,0.0,0.0,1024.0,-0.044589481549337506,4.3717693394285105e-07,1.8975270241498947,32
0.0,0.0,0.0,1024.0,-0.044300328381359576,2.018538115322599e-07,1.8974495083093643,33
0.0,0.0,0.0,1024.0,-0.04442134178243577,2.750740804913221e-07,1.8972338527441024,34
0.022493896484374998,0.0,0.022493896484374998,992.969696969697,-0.025053667626925746,0.0006341084272503395,1.9098297786712646,35
0.0,0.0,0.0,1024.0,-0.0435549866524525,1.0394329351015585e-06,1.910130849480629,36
0.0,0.0,0.0,1024.0,-0.044949770579114555,2.131376392711104e-07,1.9140707939863204,37
0.0,0.0,0.0,1024.0,-0.04485305515117943,2.0484491987105001e-07,1.9093661665916444,38
0.0,0.0,0.0,1024.0,-0.044809177564457056,1.3328170691551123e-07,1.9069270074367524,39
0.0,0.0,0.0,1024.0,-0.04250498581677675,2.3194898624012694e-07,1.9021428585052491,40
0.0,0.0,0.0,1024.0,-0.04309438136406243,1.4140201702872447e-07,1.905850538611412,41
0.0,0.0,0.0,1024.0,-0.04396197702735662,1.2700648905905608e-07,1.9049703270196914,42
0.0,0.0,0.0,1024.0,-0.04236481180414557,8.398217978822232e-08,1.904898864030838,43
0.0,0.0,0.0,1024.0,-0.04164050864055753,7.6186178787907e-08,1.9044812262058257,44
0.0,0.0,0.0,1024.0,-0.041642304277047515,7.485190511857809e-08,1.9049903064966203,45
0.0,0.0,0.0,1024.0,-0.04118840803857893,1.1309439562623425e-07,1.90545294880867,46
0.0,0.0,0.0,1024.0,-0.040914003178477286,7.46059045653169e-08,1.9047190576791764,47
0.0,0.0,0.0,1024.0,-0.042065821052528915,3.7433017952004374e-08,1.9066192626953125,48
0.022471923828124997,0.0,0.022471923828124997,992.969696969697,-0.025985136181116104,0.0006326374322043193,1.9177941226959228,49
0.0,0.0,0.0,1024.0,-0.0447228460747283,6.896564869407484e-07,1.9133945167064668,50
0.0,0.0,0.0,1024.0,-0.043928068061359224,5.29559779582911e-08,1.9060322314500808,51
0.0,0.0,0.0,1024.0,-0.03898752350360155,7.862997106755642e-08,1.9058810740709304,52
0.0,0.0,0.0,1024.0,-0.04237939836457372,3.5931600006477994e-08,1.9126773566007613,53
0.0,0.0,0.0,1024.0,-0.043042164761573076,2.1163733598950074e-08,1.9208350628614426,54
0.0,0.0,0.0,1024.0,-0.04220356727018952,3.579270588804917e-08,1.9191614657640457,55
0.0,0.0,0.0,1024.0,-0.04286087048240006,2.0166498382323538e-08,1.9169027239084244,56
0.0,0.0,0.0,1024.0,-0.042868715105578305,1.7965407228537344e-08,1.9189712017774583,57
0.0,0.0,0.0,1024.0,-0.04159825122915208,3.367877495774607e-08,1.9154714733362197,58
0.0,0.0,0.0,1024.0,-0.041776445065625015,8.202034481596954e-08,1.9205415815114975,59
0.0,0.0,0.0,1024.0,-0.04277389836497605,6.489273354226555e-08,1.9193783819675445,60
0.0,0.0,0.0,1024.0,-0.04098505489528179,4.044752908161087e-08,1.9264219135046006,61
0.0,0.0,0.0,1024.0,-0.042095158621668814,4.908153292682016e-08,1.9204763919115067,62
0.0,0.0,0.0,1024.0,-0.041183936689049,4.350436898503673e-08,1.9266107678413391,63
0.0,0.0,0.0,1024.0,-0.04043676783330739,5.6805714776508866e-08,1.9227570414543151,64
0.0,0.0,0.0,1024.0,-0.04186254991218448,1.732920975605623e-08,1.9274961680173874,65
0.0,0.0,0.0,1024.0,-0.04117437177337706,1.6841122790767216e-08,1.9240821301937103,66
